TeamName,PlayerName,,,,,,,,,,,,,
Jimmy,Scottie Scheffler,,,,,,,,,,,,,
Dale,Xander Schauffele,,,,,,,,,,,,,
Wilkins,Jon Rahm,,,,,,,,,,,,,
DP,Jordan Spieth,,,,,,,,,,,,,
Wiggy,Rory McIlroy,,,,,,,,,,,,,
Greger,Hideki Matsuyama,,,,,,,,,,,,,
Hall,Brooks Koepka,,,,,,,,,,,,,
Juhli,Will Zalatoris,,,,,,,,,,,,,
Christiane,Matt Fitzpatrick,,,,,,,,,,,,,
Ashley,Dustin Johnson,,,,,,,,,,,,,
Stu,Wyndham Clark,,,,,,,,,,,,,
Miranda,Viktor Hovland,,,,,,,,,,,,,
Brett,Cameron Smith,,,,,,,,,,,,,
Jimmy,Patrick Reed,,,,,,,,,,,,,
Dale,Brian Harman,,,,,,,,,,,,,
Wilkins,Collin Morikawa,,,,,,,,,,,,,
DP,Shane Lowry,,,,,,,,,,,,,
Wiggy,Tony Finau,,,,,,,,,,,,,
Greger,Sahith Theegala,,,,,,,,,,,,,
Hall,Joaquin Niemann,,,,,,,,,,,,,
Juhli,Patrick Cantlay,,,,,,,,,,,,,
Christiane,Cameron Young,,,,,,,,,,,,,
Ashley,Bryson DeChambeau,,,,,,,,,,,,,
Stu,Max Homa,,,,,,,,,,,,,
Miranda,Ludvig Aberg,,,,,,,,,,,,,
Brett,Justin Thomas,,,,,,,,,,,,,
Jimmy,Russell Henley,,,,,,,,,,,,,
Dale,Denny McCarthy,,,,,,,,,,,,,
Wilkins,Si Woo Kim,,,,,,,,,,,,,
DP,Jason Day,,,,,,,,,,,,,
Wiggy,Tommy Fleetwood,,,,,,,,,,,,,
Greger,Corey Conners,,,,,,,,,,,,,
Hall,Sam Burns,,,,,,,,,,,,,
Juhli,Adam Scott,,,,,,,,,,,,,
Christiane,Nick Taylor,,,,,,,,,,,,,
Ashley,Tyrrell Hatton,,,,,,,,,,,,,
Stu,Sungjae Im,,,,,,,,,,,,,
Miranda,Rickie Fowler,,,,,,,,,,,,,
Brett,Tom Kim,,,,,,,,,,,,,
Jimmy,Byeong-Hun An,,,,,,,,,,,,,
Dale,Nicolai Hojgaard,,,,,,,,,,,,,
Wilkins,Stephan Jaeger,,,,,,,,,,,,,
DP,Adam Hadwin,,,,,,,,,,,,,
Wiggy,Min Woo Lee,,,,,,,,,,,,,
Greger,Akshay Bhatia,,,,,,,,,,,,,
Hall,Chris Kirk,,,,,,,,,,,,,
Juhli,Justin Rose,,,,,,,,,,,,,
Christiane,Matthieu Pavon,,,,,,,,,,,,,
Ashley,Sergio Garcia,,,,,,,,,,,,,
Stu,Phil Mickelson,,,,,,,,,,,,,
Miranda,Keegan Bradley,,,,,,,,,,,,,
Brett,Tiger Woods,,,,,,,,,,,,,
Jimmy,Sepp Straka,,,,,,,,,,,,,
Dale,Emiliano Grillo,,,,,,,,,,,,,
Wilkins,Taylor Moore,,,,,,,,,,,,,
DP,Harris English,,,,,,,,,,,,,
Wiggy,Erik van Rooyen,,,,,,,,,,,,,
Greger,Ryan Fox,,,,,,,,,,,,,
Hall,Austin Eckroat,,,,,,,,,,,,,
Juhli,Bubba Watson,,,,,,,,,,,,,
Christiane,Thorbjorn Olesen,,,,,,,,,,,,,
Ashley,Adrian Meronk,,,,,,,,,,,,,
Stu,Charl Schwartzel,,,,,,,,,,,,,
Miranda,Lucas Glover,,,,,,,,,,,,,
Brett,J.T. Poston,,,,,,,,,,,,,
Jimmy,Stewart Hagestad,,,,,,,,,,,,,
Dale,Adam Schenk,,,,,,,,,,,,,
Wilkins,Camilo Villegas,,,,,,,,,,,,,
DP,Luke List,,,,,,,,,,,,,
Wiggy,Ryo Hisatsune,,,,,,,,,,,,,
Greger,Nick Dunlap,,,,,,,,,,,,,
Hall,Christo Lamprecht,,,,,,,,,,,,,
Juhli,Jake Knapp,,,,,,,,,,,,,
Christiane,Gary Woodland,,,,,,,,,,,,,
Ashley,Eric Cole,,,,,,,,,,,,,
Stu,Cameron Davis,,,,,,,,,,,,,
Miranda,Grayson Murray,,,,,,,,,,,,,
Brett,Kurt Kitayama,,,,,,,,,,,,,
